field,value
invoice_number,INV-2026-WH-008
invoice_date,2026-08-17
bill_to,Wadi Halfa
po_number,PO2600651634
channel,Ninja Retail
po_date,2026-08-03
delivered_date,2026-08-13
fulfillment_center,RUH8
po_outcome,Delivered

description,units,requested_sar,received_sar,commission_rate_pct,amount_sar
Commission on PO PO2600651634 (delivered value),238,2008.60,2008.60,4,80.34

total_due_sar,80.34
currency,SAR
note,Commission charged on received (fulfilled) value. Amounts exclusive of VAT.
